=== WYNIKI TRENINGU ===


=== REP 0 ===
avg_pos_score 0.9202479720115662, avg_neg_score 0.0593254417181015
avg_pos_score 0.9606178998947144, avg_neg_score 0.0933786928653717
avg_pos_score 0.896474301815033, avg_neg_score 0.04799661785364151
avg_pos_score 0.949486255645752, avg_neg_score 0.07529104501008987
avg_pos_score 0.932439923286438, avg_neg_score 0.06062094867229462
avg_pos_score 0.9296616911888123, avg_neg_score 0.05788937211036682
avg_pos_score 0.9561452269554138, avg_neg_score 0.07676321268081665
avg_pos_score 0.8971892595291138, avg_neg_score 0.04238320514559746
avg_pos_score 0.9598305225372314, avg_neg_score 0.07565100491046906
avg_pos_score 0.9279727339744568, avg_neg_score 0.0496702641248703
avg_pos_score 0.9497085213661194, avg_neg_score 0.06214475631713867
avg_pos_score 0.939293622970581, avg_neg_score 0.05510369688272476
avg_pos_score 0.9441945552825928, avg_neg_score 0.05767013877630234
avg_pos_score 0.9446918964385986, avg_neg_score 0.0555146262049675
avg_pos_score 0.9434848427772522, avg_neg_score 0.052692871540784836
avg_pos_score 0.9527449607849121, avg_neg_score 0.057104069739580154
avg_pos_score 0.9291516542434692, avg_neg_score 0.04280823469161987
avg_pos_score 0.9777496457099915, avg_neg_score 0.08503381162881851
avg_pos_score 0.9387631416320801, avg_neg_score 0.04336393624544144
avg_pos_score 0.9405531883239746, avg_neg_score 0.04426461458206177
avg_pos_score 0.9774736762046814, avg_neg_score 0.07726132124662399
avg_pos_score 0.9115042090415955, avg_neg_score 0.03273383900523186
avg_pos_score 0.9612180590629578, avg_neg_score 0.05296238139271736
avg_pos_score 0.9527668952941895, avg_neg_score 0.045873094350099564
avg_pos_score 0.9374557137489319, avg_neg_score 0.04204664006829262
avg_pos_score 0.9823156595230103, avg_neg_score 0.08130428194999695
avg_pos_score 0.9469152688980103, avg_neg_score 0.04061279445886612
avg_pos_score 0.9272616505622864, avg_neg_score 0.032745204865932465
avg_pos_score 0.9861679673194885, avg_neg_score 0.08588241785764694
avg_pos_score 0.9744899272918701, avg_neg_score 0.060557130724191666
avg_pos_score 0.7522333860397339, avg_neg_score 0.011186257936060429
avg_pos_score 0.7579099535942078, avg_neg_score 0.00971853919327259
avg_pos_score 0.9349669218063354, avg_neg_score 0.033057618886232376
avg_pos_score 0.9889845252037048, avg_neg_score 0.12477632611989975
avg_pos_score 0.9937679171562195, avg_neg_score 0.14177007973194122
avg_pos_score 0.9717454314231873, avg_neg_score 0.06745778024196625
avg_pos_score 0.7927438020706177, avg_neg_score 0.020106399431824684
avg_pos_score 0.7389998435974121, avg_neg_score 0.013730688951909542
avg_pos_score 0.8935830593109131, avg_neg_score 0.029557649046182632
avg_pos_score 0.969874382019043, avg_neg_score 0.08607430011034012
avg_pos_score 0.9791092276573181, avg_neg_score 0.10157236456871033
avg_pos_score 0.9595166444778442, avg_neg_score 0.06572948396205902
avg_pos_score 0.8945350646972656, avg_neg_score 0.0333884134888649
avg_pos_score 0.8872506022453308, avg_neg_score 0.03530900180339813
avg_pos_score 0.9470672011375427, avg_neg_score 0.06563888490200043
avg_pos_score 0.9639042019844055, avg_neg_score 0.07222192734479904
avg_pos_score 0.9396029710769653, avg_neg_score 0.05585871636867523
avg_pos_score 0.9278122782707214, avg_neg_score 0.04503801837563515
avg_pos_score 0.9409821033477783, avg_neg_score 0.05142030492424965
avg_pos_score 0.9594516754150391, avg_neg_score 0.06370821595191956
avg_pos_score 0.9509235620498657, avg_neg_score 0.05451670289039612
avg_pos_score 0.9364602565765381, avg_neg_score 0.043471381068229675
